audit_id,level,original_vignette,patient_rewrite,answer_options,correct_letter,REVIEWER_clinical_fact_changed,REVIEWER_notes
AUD-083,b,"A 65-year-old male presents to his primary care physician for stiffness in his arm. He states that he has been having trouble combing his hair and reaching objects that are high on the shelf. The patient has a past medical history of diabetes mellitus type II, obesity, and hypertension. His current medications include metformin, insulin, lisinopril, and hydrochlorothiazide. The patient admits to leading a sedentary life in which he tends to stay home and watch television. He does not engage in any physical or strenuous activity. On physical exam the patient has decreased passive and active range of motion of his shoulder. Strength of the patient's upper extremity is 4/5. Which of the following is the most likely diagnosis?","I'm a 65-year-old man and I've been having stiffness in my arm that's making it hard for me to comb my hair and reach for things on high shelves. I have type 2 diabetes, I'm obese, and I have high blood pressure. Right now, I'm taking metformin, insulin, lisinopril, and hydrochlorothiazide. I mostly just stay at home and watch TV, and I don't really do any physical activities or anything strenuous. When the doctor checked me, they found that I had less movement in my shoulder, both when I tried to move it myself and when they moved it for me. They said my strength in my arm was about 4 out of 5.","{""A"": ""Rotator cuff impingement"", ""B"": ""Adhesive capsulitis"", ""C"": ""Glenohumeral osteoarthritis"", ""D"": ""Subacromial bursitis""}",B,,
AUD-084,c,"A 34-year-old woman comes to the physician requesting prenatal care. For the past 2 months, she has had increasing breast tenderness, nausea, 3-kg (6.6-lb) weight gain, and urinary frequency. She is not sure about the date of her last menstrual period. She has been trying to conceive with her husband since she stopped taking oral contraceptives 6 months ago; she was happy to tell him last week that she is pregnant. Her temperature is 37.2°C (99°F), pulse is 100/min, and blood pressure is 110/60 mm Hg. Physical examination shows mild, nontender abdominal enlargement. The cervical os is closed. Urine β-hCG is negative. Transvaginal ultrasonography shows no abnormalities. Which of the following is the most likely diagnosis?","i went to the doctor because im 34 and i want to get prenatal care since i just found out im pregnant. for the last 2 months my breasts have been hurtin more and more and i feel kinda sick sometimes, and i gained about 3 kilos, which is like 6.6 pounds, and i gotta pee a whole lot. i dont really know when my last period was, but me and my husband have been tryin to have a baby since i stopped takin the pill 6 months ago, and i was super happy to tell him last week that im pregnant. they said my temperature was 37.2 and my pulse was 100 and my blood pressure was 110 over 60. when they checked my belly it was a little bigger but it didnt hurt, and they said my cervix was closed. they did a pee test for pregnancy and it came back negative, and then they did an ultrasound and said everything looked normal.","{""A"": ""Delusion of pregnancy"", ""B"": ""Pseudocyesis"", ""C"": ""Pregnancy"", ""D"": ""Incomplete abortion""}",B,,
AUD-085,b,"A 40-year-old man comes to the physician because of shortness of breath, double vision, and fatigue for the past 4 weeks. He has no history of serious medical illness and takes no medications. Physical examination shows drooping of the eyelids bilaterally. He is unable to hold his arms up for longer than 3 minutes. A CT scan of the chest shows an anterior mediastinal mass with smooth contours. A photomicrograph of a specimen from the mass is shown. Which of the following immunologic processes normally occurs in the region indicated by the arrow?","I've been having trouble breathing, double vision, and feeling really tired for the past four weeks. I'm a 40-year-old man and I don't have any serious medical issues, and I don't take any medications. When the doctor examined me, they noticed that my eyelids were drooping on both sides. I also couldn't hold my arms up for more than three minutes. They did a CT scan of my chest and found a mass in the front part of my chest that looked smooth. There was also a picture of a sample from that mass, but I don't know what it showed.","{""A"": ""B-cell maturation"", ""B"": ""V(D)J recombination"", ""C"": ""Thymocyte formation"", ""D"": ""Negative selection""}",D,,
AUD-086,b,"A mother brings her 18-year-old daughter to your office because she has not menstruated yet. They recently immigrated from another country, and do not have any previous medical records. The adolescent girl looks relatively short, but otherwise looks healthy. She has no complaints except for mild intermittent lower abdominal pain for the past year. On physical examination, vitals are within normal limits. There is the presence of axillary hair, breast development, and pubic hair at Tanner stage 5. You explain to the mother and the patient that you need to perform a complete vaginal examination, however, both of them declined the procedure and would prefer that lab test be performed. Her labs are significant for the following:
FSH 7 mIU/mL
Normal values:  
   Follicular phase 3.1 – 7.9 mIU/mL
   Ovulation peak 2.3 – 18.5 mIU/mL
   Luteal phase 1.4 – 5.5 mIU/mL
   Postmenopausal 30.6 – 106.3 mIU/mL
Estradiol 28 pg/mL
Normal values:  
   Mid-follicular phase 27 – 123 pg/mL
   Periovulatory 96 – 436 pg/mL
   Mid-luteal phase 49 – 294 pg/mL
   Postmenopausal 0 – 40 pg/mL
Testosterone 52 ng/dL, 40 – 60 ng/dL
What is the most likely diagnosis of this patient?","I brought my 18-year-old daughter in because she hasn't had her period yet. We just moved here from another country, and we don't have any medical records from before. She looks a bit short but otherwise seems healthy. The only thing she complains about is some mild lower belly pain that comes and goes, and that's been happening for about a year. When they checked her, her vital signs were normal. They noticed she has hair under her arms, her breasts have developed, and she has pubic hair, which they said is at Tanner stage 5. I was told that a complete vaginal exam was needed, but both of us said no to that and asked for lab tests instead. The lab results showed her FSH was 7, which is within the normal range for the follicular phase. Her estradiol was 28, which is also normal for the mid-follicular phase, and her testosterone was 52, which is in the normal range too. I'm her mom.","{""A"": ""Muellerian agenesis"", ""B"": ""Hyperprolactinemia"", ""C"": ""Turner syndrome"", ""D"": ""Androgen insensitivity""}",A,,
AUD-087,b,A 34-year-old male suffers from inherited hemophilia A. He and his wife have three unaffected daughters. What is the probability that the second daughter is a carrier of the disease?,"I'm a 34-year-old man and I have a condition called hemophilia A that I inherited. My wife and I have three daughters, and they are all healthy and don't have it. I'm just trying to understand the chances that our second daughter might be a carrier of this condition.","{""A"": ""0%"", ""B"": ""25%"", ""C"": ""50%"", ""D"": ""100%""}",D,,
AUD-088,b,"A 24-year-old pregnant woman at 28 weeks gestation presents to the emergency department with complaints of fever with chills and pain in her knee and ankle joints for the past 2 days. She also complains of headaches and difficulty moving her neck. Further questioning reveals that she had a tick bite on her arm while gardening a few days ago. Past medical history is noncontributory. She takes a multivitamin with iron and folate every day and has been receiving regular prenatal care and the pregnancy is progressing normally. On examination, an erythematous rash is seen on her right arm, as shown in the accompanying photograph. Her obstetric examination is normal. Ultrasound of the fetus is reassuring with a normal heartbeat and no gross abnormalities. A specimen is collected to test for Lyme disease. What is the next best step for this patient?","I'm a 24-year-old pregnant woman, and I'm 28 weeks along. I came to the emergency department because I've had a fever with chills and pain in my knee and ankle joints for the past two days. I've also been having headaches and it's been hard to move my neck. I remember getting a tick bite on my arm while I was gardening a few days ago. I take a multivitamin with iron and folate every day, and I've been getting regular prenatal care, and everything has been going well with my pregnancy. When they examined me, they found a red rash on my right arm. My obstetric exam was normal, and the ultrasound showed the baby has a normal heartbeat and no major issues. They took a sample to test for Lyme disease.","{""A"": ""Ibuprofen"", ""B"": ""Tetracycline"", ""C"": ""Amoxicilin"", ""D"": ""Gentamicin""}",C,,
AUD-089,b,"A 25-year-old primigravida is admitted to the hospital at 36 weeks gestation after a generalized tonic-clonic seizure. She is conscious, but lethargic and complains of a headache that started 2 hours prior to the seizure. She denies alcohol intake or drug use. She has no history of convulsive disorders and the antepartum course has been unremarkable. She was compliant with the recommended prenatal care and her last prenatal visit was 2 weeks ago. She has gained 2 kg (4.4 lb) since her last visit. The blood pressure was 160/90 mm Hg, the heart rate was 79/min, the respiratory rate was 14/min, and the temperature was 37.0℃ (98.6℉). The physical examination shows leg and perineal edema. The neurologic examination is significant for symmetric upper and lower extremity hyperreflexia and ankle clonus. Which of the following laboratory findings would be most common in this patient?","I'm a 25-year-old woman and I was admitted to the hospital because I had a seizure. It happened at 36 weeks into my pregnancy. I was conscious but felt really tired and had a headache that started about 2 hours before the seizure. I don't drink alcohol or use drugs, and I have no history of seizures. My pregnancy has been normal so far, and I went to my last prenatal visit just 2 weeks ago. Since then, I've gained 2 kg, which is about 4.4 pounds. When they checked my blood pressure, it was 160 over 90, my heart rate was 79 beats per minute, my breathing was 14 times a minute, and my temperature was 37.0 degrees Celsius, which is 98.6 degrees Fahrenheit. They also found swelling in my legs and around my private area. When they checked my nerves, they said my reflexes were really strong in both my arms and legs, and I had some twitching in my ankles.","{""A"": ""Elevated transaminases"", ""B"": ""Leukocytosis"", ""C"": ""Hyponatremia"", ""D"": ""Proteinuria""}",D,,
AUD-090,c,A 34-year-old male suffers from inherited hemophilia A. He and his wife have three unaffected daughters. What is the probability that the second daughter is a carrier of the disease?,"im a 34 year old guy and i got this thing called hemophilia A that i got from my family. my wife and me have three daughters and they all seem fine, like they dont have it or anything. im just wondering what the odds are that our second daughter could be a carrier of this disease.","{""A"": ""0%"", ""B"": ""25%"", ""C"": ""50%"", ""D"": ""100%""}",D,,
AUD-091,c,"A 7 -day-old newborn boy presents to the emergency department with a history of fever, irritability, and generalized erythema. During the first 2 days of clinical manifestations, the parents of the child tried to control the symptoms using acetaminophen; however, the newborn continued to be ill, and blisters were noticeable around the buttocks, hands, and feet. During the physical examination, the vital signs include body temperature 39.0°C (102.3°F), heart rate 130/min, and respiratory rate 45/min. Ears, nose, and oral mucosa preserved their integrity, while the skin presents with diffuse blanching erythema and flaccid blisters with a positive Nikolsky’s sign. What is the most likely diagnosis in this patient?","my little boy is only 7 days old and we had to take him to the emergency room cause he was running a fever and was super cranky and his skin was all red. for the first 2 days we tried givin him some acetaminophen to help with the fever but it just didnt work and then we saw blisters poppin up around his butt, hands, and feet. when they looked at him there they said his temp was 39.0 degrees celsius which is like 102.3 degrees fahrenheit, and his heart was goin 130 beats a minute and he was breathin 45 times a minute. his ears, nose, and mouth were all good but his skin was really red and had these soft blisters, and they mentioned something about a positive Nikolsky’s sign, whatever that means. im really worried about him.","{""A"": ""Scarlet fever"", ""B"": ""Scalded skin syndrome"", ""C"": ""Impetigo"", ""D"": ""Pyoderma""}",B,,
AUD-092,b,A 34-year-old man comes to the physician with a 2-month history of difficulty concentrating at work. He is worried he may lose his job due to poor performance. He feels constantly tired but attributes his fatigue to waking up early most mornings and being unable to fall back asleep. His wife has noticed that he has been speaking more slowly than usual and his appetite has decreased. He used to enjoy dance classes with her but has not been as interested in this recently. He is a veteran who returned from a deployment to Afghanistan 2 years ago. Which of the following is the most likely diagnosis?,"I've been having trouble concentrating at work for the past two months, and I'm really worried I might lose my job because of how poorly I'm performing. I feel tired all the time, but I think it's because I wake up early most mornings and can't get back to sleep. My wife has noticed that I've been talking more slowly than I usually do, and I've also lost some of my appetite. I used to love going to dance classes with her, but I haven't been as interested in that lately. I'm a 34-year-old man and I served in the military, coming back from Afghanistan two years ago.","{""A"": ""Major depressive disorder"", ""B"": ""Adjustment disorder"", ""C"": ""Acute stress disorder"", ""D"": ""Post traumatic stress disorder""}",A,,
AUD-093,c,A 34-year-old man comes to the physician because of frequent headaches and blurry vision during the past 4 months. He has also had difficulties achieving an erection over the past few weeks. Physical examination shows a temporal visual field deficit bilaterally. An MRI of the brain shows an intrasellar mass. The mass is most likely derived from which of the following types of cells?,"for the last 4 months ive been gettin these really bad headaches and my vision is all blurry, like i cant see things right. also, for the past few weeks its been hard to get an erection, which is really frustrating. when the doctor looked at me, they said something about my side vision not being right in both eyes. then they did this scan of my brain and found a mass in there somewhere. im a 34 year old man and honestly i just want to know what this all means.","{""A"": ""Thyrotrophs"", ""B"": ""Lactotrophs"", ""C"": ""Somatotrophs"", ""D"": ""Gonadotrophs""}",B,,
AUD-094,c,"A 6-year-old boy presents with fever, malaise, and intense pain in the anterior neck. His vital signs include: body temperature 39.0°C (102.2°F), heart rate 120/min, and respiratory rate 18/min and regular. On physical examination, there is erythema, tenderness and enlargement of the thyroid gland that is worse on the left. Pain is worsened during neck hyperextension and relieved during neck flexion. Thyroid function tests are within normal limits. An ultrasound of the thyroid gland reveals a unifocal perithyroidal hypoechoic space. Which of the following is the most likely mechanism underlying this patient’s condition?","my little boy is 6 and he has been really sick with a fever and just feels awful, and he has this super bad pain in the front of his neck. they said his temperature was 39.0 degrees celsius, which is like 102.2 degrees fahrenheit, and his heart was goin 120 beats a minute while he was breathin 18 times a minute and it was regular. when the doctor looked at him, they said his thyroid gland was all red and hurtin and swollen, especially on the left side. the pain gets worse when he tilts his neck back, but it feels better when he bends it forward. they told me his thyroid tests were normal, and then they did an ultrasound and found this one spot that looked different around it. im really worried about him.","{""A"": ""Postviral inflammatory process"", ""B"": ""Pyriform sinus fistula"", ""C"": ""Antithyroid peroxidase (TPO)"", ""D"": ""Autoantibodies to the thyrotropin receptor (TRAb)""}",B,,
AUD-095,c,"A 1-year-old boy is brought to the clinic by his parents for a regular check-up. His weight, height, and head size were found to be in the lower percentile ranges on standard growth curves. His hair is tangled and has a dry, brittle texture. Genetic testing reveals that the patient has a connective tissue disorder caused by impaired copper absorption and transport. The patient’s disorder is caused by a mutation in which of the following genes?","my little boy is just 1 year old and we brought him in for a check-up, me and his dad. the doctors said his weight and height and head size are all kinda low on the growth charts, like in the lower percentiles. his hair is all tangled up and it feels really dry and brittle too. they did some tests and told us he has this thing with his connective tissue because he cant absorb copper right or something like that. they said it has to do with a mutation in a gene but i dont really know which one.","{""A"": ""ATP7A"", ""B"": ""COL5A1"", ""C"": ""FBN1"", ""D"": ""ATP7B""}",A,,
AUD-096,c,"A 46-year-old woman presents with a 5-month history of worsening dry cough, occasional shortness of breath, and fatigue. She says she is now having trouble walking a full block. For the past week, she also has noticed bilateral swelling of the lower legs. She denies chest pain, fever, chills, syncope, or bloody sputum. Current vitals include: temperature 37.0°C (98.6°F), pulse 63/min, blood pressure 128/91 mm Hg and respiratory rate 15/min. On physical examination, there is elevated jugular venous pressure, decreased breath sounds bilaterally at the lung bases, and 1+ non-pitting edema bilaterally in the lower extremities. A chest X-ray demonstrates a slightly enlarged cardiac silhouette. Which of the following is the most appropriate next step in the diagnosis of this patient?","for the last 5 months ive had this dry cough that just keeps getting worse and now i get kinda short of breath sometimes and feel really tired all the time. its gotten to the point where i cant even walk a whole block without needing to stop and catch my breath. then for the past week i noticed both my legs are swollen, like really puffy. i dont have any chest pain or fever or chills or anything like that, and no blood when i cough. they said my temp was 37.0, my pulse was 63, my blood pressure was 128 over 91, and my breathing was 15. when the doctor checked me out, they said my neck veins were kinda raised, and they said my breath sounds were lower down in my lungs, and both my legs had some swelling that didnt leave a mark when they pressed on it. they took a picture of my chest and said my heart looked a little bigger than it should.","{""A"": ""Bronchoalveolar wash"", ""B"": ""Pulmonary function studies"", ""C"": ""Echocardiography"", ""D"": ""Chest CT""}",C,,
AUD-097,b,"A 59-year-old man presents to his primary care provider with fatigue. He has been seen in the emergency room 5 times in the past 2 years for acute alcohol intoxication. His past medical history is notable for diabetes mellitus and gout. He takes metformin, glyburide, and allopurinol. His temperature is 98.6°F (37°C), blood pressure is 130/85 mmHg, pulse is 86/min, and respirations are 16/min. He is in no acute distress. A positive fluid wave is noted. The dorsal surface of the tongue is depapillated, and there are erythematous swollen patches at the oral commissures. A complete blood count and iron studies are reported below:

Hemoglobin: 12.1 g/dL
Hematocrit: 36%
Leukocyte count: 6,000/mm^3 with normal differential
Platelet count: 170,000/mm^3

Mean corpuscular volume: 70 um^3
Iron: 250 ug/dL
Ferritin: 300 ng/mL
Total iron binding capacity: 200 mcg/dL^3

Which of the following findings is most likely to be seen in this patient?","I'm a 59-year-old man and I've been feeling really tired lately. I've gone to the emergency room five times in the last two years because of drinking too much. I have diabetes and gout, and I take metformin, glyburide, and allopurinol for those. My temperature was 98.6 degrees, my blood pressure was 130 over 85, my pulse was 86 beats per minute, and I was breathing 16 times a minute. I wasn't in any acute distress when I saw the doctor. They noticed a positive fluid wave when they examined me. My tongue looked different, like it was missing some bumps, and there were red swollen patches at the corners of my mouth. They did some blood tests, and my hemoglobin was 12.1, my hematocrit was 36 percent, my white blood cell count was 6,000, and my platelet count was 170,000. The mean corpuscular volume was 70, my iron level was 250, my ferritin was 300, and my total iron binding capacity was 200.","{""A"": ""Erythroblasts with mitochondrial iron deposits"", ""B"": ""Erythrocytes lacking central pallor"", ""C"": ""Erythrocytes with a ring of relative pallor"", ""D"": ""Inclusions of denatured hemoglobin""}",A,,
AUD-098,b,"A 34-year-old woman is brought to the emergency department following a high-speed motor vehicle collision in which she was the restrained driver. On arrival, she has a cervical collar in place and is unresponsive. Her temperature is 36.7°C (98°F), pulse is 70/min, and blood pressure is 131/76 mm Hg. Her pupils are dilated and not reactive to light. She is unresponsive to noxious stimuli. She is intubated, and mechanical ventilation is begun. Serum concentrations of electrolytes, urea nitrogen, and creatinine are within the reference range. Toxicology screening is negative. A CT scan of the head without contrast shows a massive intracranial bleed and a cervical spine injury at the level of C3. Which of the following is the most appropriate next step in diagnosing brain death?","I brought my 34-year-old daughter to the emergency department after she was in a really bad car accident where she was driving fast and was wearing her seatbelt. When we got there, she had a neck brace on and she wasn't responding at all. Her temperature was 36.7 degrees Celsius, her pulse was 70 beats per minute, and her blood pressure was 131 over 76. The doctors said her pupils were dilated and not reacting to light, and she didn't respond even when they tried to get a reaction from her. They had to put a tube in her throat to help her breathe. They checked her blood and said all the levels for electrolytes, urea nitrogen, and creatinine were normal. The toxicology test came back negative. They did a CT scan of her head without any contrast and found a huge bleed in her brain and an injury to her neck at the C3 level.","{""A"": ""Electroencephalography"", ""B"": ""Magnetic resonance angiography"", ""C"": ""Deep tendon reflex testing"", ""D"": ""Corneal reflex test""}",D,,
AUD-099,b,"A 27-year-old woman with no past medical history presents to the emergency department with recurrent wrist and neck pain for the last 2 months. She reports that her fingers feel stiff in the morning and the symptoms tend to improve as the day progresses. She denies any recent trauma or other inciting events. Family history is significant for a grandmother who suffered from fibromyalgia. Her temperature is 37°C (98.6°F), blood pressure is 120/70 mm Hg, respiratory rate is 16/min, and heart rate is 70/min. On physical examination, her metacarpophalangeal joints are erythematous and tender. Which of the following would be most helpful for diagnosing this patient’s condition?","I'm a 27-year-old woman and I've been having pain in my wrist and neck that keeps coming back for the last two months. In the mornings, my fingers feel really stiff, but it usually gets better as the day goes on. I haven't had any recent injuries or anything that might have caused this. My family history includes my grandmother who had fibromyalgia. My temperature was 37 degrees, my blood pressure was 120 over 70, my breathing rate was 16 times a minute, and my heart rate was 70. When the doctor examined me, they found that my finger joints were red and hurt when they touched them.","{""A"": ""Synovial fluid analysis"", ""B"": ""Anti-cyclic citrullinated peptide (anti-CCP) antibody"", ""C"": ""Rheumatoid factor"", ""D"": ""X-ray of cervical spine""}",B,,
AUD-100,c,"A 55-year-old caucasian male is transferred to a tertiary care hospital from a small county hospital where he presented with jaundice and severe abdominal pain that radiates to the back. While in the county hospital, he did not develop fever, and his vital signs were stable for the 48 hours he spent at there. Initial laboratory tests are given below:
Total bilirubin 7 mg/dL
Direct bilirubin 6.4 mg/dL
AST 100
ALT 40
Alkaline phosphatase 480 IU/L
Glucose 160 mg/dL
The patient’s medical history is relevant for hypertension and diabetes mellitus. He admits to smoking cigarettes since his early teenage years. Moderate icterus is evident during physical examination, the abdomen is distended and dull to percussion, and there is periumbilical tenderness. Which of the following markers would you expect to be elevated in this patient?","i got moved to a bigger hospital from a small county one because im a 55 year old man and i had this yellowing of my skin and some really bad pain in my stomach that goes to my back. while i was at the county hospital for 2 days, i didnt have a fever and my vitals were stable. they did some tests and my total bilirubin was 7, direct bilirubin was 6.4, AST was 100, ALT was 40, alkaline phosphatase was 480, and glucose was 160. i got high blood pressure and diabetes, and ive been smokin since i was a kid. they said i had moderate yellowing and my belly was all swollen and felt dull when they tapped it, and it hurt when they pushed around my belly button.","{""A"": ""CA 125"", ""B"": ""Desmin"", ""C"": ""CA 27-29"", ""D"": ""CA 19-9""}",D,,
AUD-101,b,"An investigator is studying the cell morphologies of the respiratory tract. He obtains a biopsy from the mainstem bronchus of a patient. On microscopic examination, the biopsy sample shows uniform squamous cells in layers. Which of the following best describes the histologic finding seen in this patient?","There's a researcher looking at the cells in the breathing tubes, and he took a small sample from the main bronchus of a patient. When they looked at it under the microscope, they saw that the sample had layers of squamous cells that were all pretty much the same. I'm not sure what that means exactly, but that's what they found.","{""A"": ""Metaplasia"", ""B"": ""Normal epithelium"", ""C"": ""Dysplasia"", ""D"": ""Anaplasia\n\""""}",A,,
AUD-102,c,"A 24-year-old woman presents to her primary care physician for a wellness visit. She says that she has been generally healthy but has noticed difficulty concentrating, becoming increasingly fatigued, and a 15-pound weight increase over the course of a few months. She also reports mild constipation and joint pain. Approximately 6-months ago, she experienced palpitations, increased stool frequency, and a hand tremor. Her past medical history is significant for asthma. Her father is not living and had Parkinson disease, and her mother has poorly controlled rheumatoid arthritis. She is currently sexually active in a monogamous relationship and uses contraception consistently. She denies cigarette smoking and occasionally drinks wine. She experimented once with lysergic acid diethylamide 6 years ago. Her temperature is 99°F (37.2°C), blood pressure is 127/98 mmHg, pulse is 55/min, and respirations are 13/min. On physical exam, the patient has slow speech and movement. She has tenderness to palpation of her wrist and ankle joints. She has delayed relaxation of deep tendon reflexes. Which of the following will most likely be found in this patient?","i went to the doctor for a checkup, im 24 and a woman, and even tho i usually feel pretty good, lately its been hard to focus and im super tired all the time, plus i gained like 15 pounds over the last few months. also, i have mild constipation and my joints hurt a bit. about 6 months ago, i had this thing where my heart was racing, i was going to the bathroom more often, and my hands were kinda shaky. i have asthma, and my dad passed away from parkinsons and my mom has really bad rheumatoid arthritis. im in a steady relationship and i use birth control all the time. i dont smoke but i drink wine sometimes, and i tried that acid stuff once like 6 years ago. they said my temp was 99 degrees, blood pressure was 127 over 98, my pulse was 55, and i was breathin 13 times a minute. when they checked me out, they said i was talkin and movin slow, and my wrists and ankles hurt when they pushed on them, plus my reflexes took a while to relax.","{""A"": ""Elevated TSH"", ""B"": ""High Patient Health Questionnaire-9 (PHQ-9) score"", ""C"": ""Positive anti-CCP antibodies"", ""D"": ""Positive urine toxicology""}",A,,
AUD-103,c,"A 20-year-old woman is brought in for a psychiatric consultation by her mother who is concerned because of her daughter’s recent bizarre behavior. The patient’s father died from lung cancer 1 week ago. Though this has been stressful for the whole family, the daughter has been hearing voices and having intrusive thoughts ever since. These voices have conversations about her and how she should have been the one to die and they encourage her to kill herself. She has not been able to concentrate at work or at school. She has no other history of medical or psychiatric illness. She denies recent use of any medication. Today, her heart rate is 90/min, respiratory rate is 17/min, blood pressure is 110/65 mm Hg, and temperature is 36.9°C (98.4°F). On physical exam, she appears gaunt and anxious. Her heart has a regular rate and rhythm and her lungs are clear to auscultation bilaterally. CMP, CBC, and TSH are normal. A urine toxicology test is negative. What is the patient’s most likely diagnosis?","my mom brought me in for some kinda checkup because shes really worried about me. im 20 and things have been really weird for me lately. my dad died from lung cancer just a week ago and ever since then ive been hearing these voices that talk about me and say i shoulda been the one to die and they tell me to hurt myself. its been super hard to focus on anything at work or school. i dont have any other health problems and i havent taken any meds lately. when they checked me today my heart rate was 90 and i was breathin 17 times a minute, my blood pressure was 110 over 65 and my temp was 36.9. they said i looked really thin and anxious. my heart was beatin normal and my lungs sounded clear. they did some blood tests and everything was normal and the pee test was negative. im just really struggling right now.","{""A"": ""Brief psychotic disorder"", ""B"": ""Adjustment disorder"", ""C"": ""Schizophrenia"", ""D"": ""Bereavement""}",A,,
AUD-104,b,An investigator is studying bacterial adaptations to the environment in an infectious isolate and a noninfectious isolate of Hemophilus influenzae type B. Animals exposed to the noninfectious isolate do not develop symptoms of infection. The investigator cultivates the noninfectious isolate in a culture with lysed bacteria from the infectious isolate. Some of the animals exposed to these bacteria develop symptoms of infection. Which of the following processes is most likely responsible for the described findings?,"An investigator is looking into how bacteria change to survive in different environments, specifically with two types of Hemophilus influenzae type B, one that causes infections and one that doesn't. They found that animals that were exposed to the noninfectious type didn't show any signs of infection. Then, the investigator grew the noninfectious type in a culture with broken-down bacteria from the infectious type. After that, some of the animals that were exposed to these bacteria started showing signs of infection. They're trying to figure out what process is likely causing this to happen.","{""A"": ""Conjugation"", ""B"": ""Reassortment"", ""C"": ""Transformation"", ""D"": ""Recombination""}",C,,
AUD-105,c,"A 10-year-old girl is brought to a clinic by her parents after 1 week of difficulty breathing, dry cough, and low-grade fevers. She has also developed shallow erythematous ulcers inside of her mouth. There is no history of chills, rigors, or headaches. Her appetite has decreased. The girl has been HIV-positive since birth and is being treated with HAART. Her baseline viral load is <50/mL. On general examination, the girl appears ill. Diffuse inspiratory crackles are heard on chest auscultation with normal heart sounds. No lymphadenopathy or hepatosplenomegaly is noted on physical examination. A blood sample is drawn, which shows a CD4 count of 100/mm3 and a viral load of 25,050/mL. What is the most likely mechanism responsible for the lack of responsiveness to therapy?","my 10 year old daughter has been havin a really hard time breathin for a week now and she has this dry cough and some low fevers that are kinda not too high but still there. she also got these little red sores in her mouth that look really bad. she hasnt had any chills or headaches or anything like that but she hasnt been eatin much either. shes been HIV positive since she was born and is on this treatment called HAART, and they said her viral load was under 50 before all this started. when the doctor checked her out she looked really sick and they listened to her chest and said they heard some crackling sounds when she breathes in but her heart sounded normal. they said there were no swollen lymph nodes or anything like that and they took some blood and told me her CD4 count was 100 and her viral load was 25,050. im really worried about her.","{""A"": ""Ineffective CD8 cytotoxicity"", ""B"": ""env gene mutation"", ""C"": ""pol gene mutation"", ""D"": ""Decreased viral replication""}",C,,
AUD-106,b,"A 6-year-old boy presents with fever, malaise, and intense pain in the anterior neck. His vital signs include: body temperature 39.0°C (102.2°F), heart rate 120/min, and respiratory rate 18/min and regular. On physical examination, there is erythema, tenderness and enlargement of the thyroid gland that is worse on the left. Pain is worsened during neck hyperextension and relieved during neck flexion. Thyroid function tests are within normal limits. An ultrasound of the thyroid gland reveals a unifocal perithyroidal hypoechoic space. Which of the following is the most likely mechanism underlying this patient’s condition?","My 6-year-old son has been feeling really sick with a fever and just not himself, plus he has this really bad pain in the front of his neck. His temperature was 39.0 degrees Celsius, which is 102.2 degrees Fahrenheit, and his heart was beating 120 times a minute while he was breathing 18 times a minute and it was regular. When the doctor checked him, they found that his thyroid gland was red, tender, and swollen, especially on the left side. The pain gets worse when he tilts his neck back, but it feels better when he bends it forward. They said his thyroid function tests were normal. They also did an ultrasound on his thyroid and found a single area that looked different around it. I'm really worried about him.","{""A"": ""Postviral inflammatory process"", ""B"": ""Pyriform sinus fistula"", ""C"": ""Antithyroid peroxidase (TPO)"", ""D"": ""Autoantibodies to the thyrotropin receptor (TRAb)""}",B,,
AUD-107,b,"Thirty minutes after delivery, a 3600-g (7-lb 15-oz) newborn has noisy breathing, bluish discoloration of her lips, and intermittent respiratory distress. She was born at 38 weeks' gestation and required bag-mask resuscitation immediately after delivery. Pregnancy was uncomplicated. Her mother has noticed the bluish lip discoloration worsen when she fed and improve when she cried. The patient's pulse is 163/min, respirations are 62/min, and blood pressure is 60/30 mm Hg. The crying infant's lungs are clear to auscultation. Further evaluation of this patient is most likely to show which of the following?","About thirty minutes after my baby girl was born, she started having noisy breathing and her lips turned a bit bluish. She was having trouble breathing off and on. She was born at 38 weeks and needed some help breathing right after she came out. My pregnancy went fine. I noticed that her lips get more blue when I feed her, but they get better when she cries. Her pulse was 163, she was breathing 62 times a minute, and her blood pressure was really low at 60 over 30. When they listened to her lungs, they said they sounded clear. I'm her mom.","{""A"": ""Diffuse reticulogranular densities on chest x-ray"", ""B"": ""Boot-shaped heart on chest x-ray"", ""C"": ""Passage of a gastric catheter through the mouth not possible"", ""D"": ""Passage of a catheter through the nasal cavity not possible""}",D,,
